Compute Time (ms),Total Expected Value (Precise),Total Expected Value (ROC)
315.0,0.5375835576583317,0.5385735522573516,
322.0,0.514170766432034,0.5190560481680053,
24356.0,0.14421040308294433,0.1438508913727779,
218.0,0.5038775948449434,0.501149869484974,
179.0,0.5227805198390499,0.5222802669084323,
254.0,0.3779661420673104,0.3793683573084723,
216.0,0.5778669501444069,0.5792695399325243,
11253.0,0.23687271005915153,0.2367071357648392,
200.0,0.5222259071958848,0.5236679301225138,
216.0,0.31852861468906585,0.31734038942240894,
18099.0,0.27932593143906675,0.2790699067645556,
18335.0,0.2546760195316882,0.25003030880440386,
21324.0,0.2920989839220449,0.28541791487400375,
210.0,0.4217149931042483,0.4176272634374797,
185.0,0.419584577846605,0.4153606499642974,
11932.0,0.44657783436810244,0.4464484041185962,
14407.0,0.33823042408523524,0.33720807933682867,
20211.0,0.4014748973405734,0.40177890955831624,
12578.0,0.5197819271215485,0.5198830931173299,
11514.0,0.4347924199811366,0.431844165773393,
16104.0,0.5438115845780449,0.5437434340255112,
201.0,0.22186134983348302,0.2200493301851158,
10110.0,0.5353843439509425,0.5351761377389307,
11845.0,0.5334112018903565,0.5329965398263622,
13237.0,0.2937501764487499,0.2937446687719019,
220.0,0.1439783487224568,0.14037093735564757,
208.0,0.4432541285810375,0.44665059364913856,
18305.0,0.10300015850089303,0.10291463966418918,
200.0,0.3438755211539553,0.34220455142529127,
201.0,0.5118901921996935,0.5186201026563753,
200.0,0.4556798532169229,0.4583148862786805,
201.0,0.22842423537900908,0.2108407815453205,
